pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Japon,110,2013,Huiles de Poissons,2781,43000000.0,0.0,0.0,0.0,0.0,31000000.0,12000000.0
Japon,110,2013,Huiles de Foie de Poisso,2782,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0
Japon,110,2013,Riz (Eq Blanchi),2805,8210000000.0,101000000.0,30000000.0,135000000.0,319000000.0,7609000000.0,16000000.0
Japon,110,2013,Lait - Excl Beurre,2848,9820000000.0,211000000.0,0.0,0.0,0.0,9162000000.0,447000000.0
Japon,110,2013,Miscellanees,2899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Ble,2511,1047000000.0,0.0,2000000.0,51000000.0,0.0,995000000.0,0.0
Jordanie,112,2013,Orge,2513,765000000.0,718000000.0,5000000.0,38000000.0,1000000.0,3000000.0,0.0
Jordanie,112,2013,Mais,2514,579000000.0,497000000.0,0.0,23000000.0,29000000.0,19000000.0,11000000.0
Jordanie,112,2013,Seigle,2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Avoine,2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Millet,2517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Sorgho,2518,20000000.0,19000000.0,0.0,1000000.0,0.0,0.0,0.0
Jordanie,112,2013,"Cereales, Autres",2520,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0
Jordanie,112,2013,Pommes de Terre,2531,200000000.0,0.0,10000000.0,18000000.0,0.0,151000000.0,22000000.0
Jordanie,112,2013,Manioc,2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Patates douces,2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Racines nda,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,"Sucre, canne",2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,"Sucre, betterave",2537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordanie,112,2013,Sucre Eq Brut,2542,334000000.0,0.0,0.0,0.0,0.0,334000000.0,0.0
Jordanie,112,2013,Edulcorants Autres,2543,6000000.0,0.0,0.0,0.0,0.0,6000000.0,0.0
Jordanie,112,2013,Haricots,2546,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jordanie,112,2013,Pois,2547,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
